annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
246,GPT OSS 120B · 8 000 TPM,s.,5,2,1,2,s. | S.,BNE_ms3047_4 | BNE_ms3047_1,bne_ms3047,Javier | Rodrigo,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,False,s.
247,Llama 3.3 70B · 12 000 TPM,señor,5,2,1,2,señor,BnF_075_003 | BnF_075_035,bnf_075,Adriana | Arturo,Cambios,Sustitución,3,Cambios — Sustitución | Cambios — Deleción,False,señor
248,GPT OSS 120B · 8 000 TPM,convto,5,1,1,1,convto,BNE_ms3047_4,bne_ms3047,Javier,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,False,convto
249,Llama 3.3 70B · 12 000 TPM,lib.,5,1,1,1,lib.,BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,False,lib.
250,Llama 3.3 70B · 12 000 TPM,pleyto,5,1,1,1,pleyto,BnF_118_03,bnf_118,Paloma,Filológicas - instrucciones,Regularización de i/y vocálicas,5,Filológicas - instrucciones — Regularización de i/y vocálicas,False,pleyto
251,Llama 3.3 70B · 12 000 TPM,s,5,1,1,1,S,BnF_174_02,bnf_174,Javier,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,False,s
252,Llama 3.3 70B · 12 000 TPM,v,5,1,1,1,V,BnF_174_02,bnf_174,Javier,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,False,v
253,GPT OSS 120B · 8 000 TPM,magd,4,3,3,1,magd | Magd,AGI_PATRONATO_181_R13_1 | AGN_IndiferenteVirreinal_caja4071_exp024_2 | AGN_RealesCedDup_v050_exp062,agi_patronato | agn_indiferentevirreinal | agn_realesceddup,Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,False,magd
254,GPT OSS 120B · 8 000 TPM,mas,4,3,3,1,mas | maS,AGI_PATRONATO_182_R3_01 | AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874,agi_patronato | agn_indios | agn_realesceddup,Alba,Acentuación,No sub-rule assigned,4,Acentuación — No sub-rule assigned,False,mas
255,GPT OSS 120B · 8 000 TPM,están,4,2,1,2,Están,BnF_030_21 | BnF_030_27,bnf_030,Edna | Rodrigo,Cambios,Sustitución,4,Cambios — Sustitución,False,están
256,GPT OSS 120B · 8 000 TPM,marqs,4,2,2,1,Marqs | MarqS,AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874,agn_indios | agn_realesceddup,Alba,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,False,marqs
257,GPT OSS 120B · 8 000 TPM,my,4,2,1,2,my,BnF_112_25 | BnF_112_23,bnf_112,Paco | Edna,Cambios,Sustitución,2,Cambios — Sustitución | Filológicas - instrucciones — Regularización de i/y vocálicas,False,my
258,GPT OSS 120B · 8 000 TPM,más,4,2,2,1,más,AGN_RealesCedDup_v030_exp874 | BnF_075_014,agn_realesceddup | bnf_075,Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned,False,más
259,Llama 3.3 70B · 12 000 TPM,y a,4,2,2,1,y a,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_032_23,agn_hospjesus | bnf_032,Arturo,Cambios,Sustitución,2,"Cambios — Sustitución | Puntuación — Coma (,)",False,y a
260,GPT OSS 120B · 8 000 TPM,=,4,1,1,1,=,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",4,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción",False,=
261,Llama 3.3 70B · 12 000 TPM,acha,4,1,1,1,acha,BnF_111_22,bnf_111,Paloma,Filológicas - instrucciones,Regularización de H etimológica,4,Filológicas - instrucciones — Regularización de H etimológica,False,acha
262,GPT OSS 120B · 8 000 TPM,anata,4,1,1,1,anata,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,No sub-rule assigned,4,Abreviaturas — No sub-rule assigned,False,anata
263,Llama 3.3 70B · 12 000 TPM,cap.,4,1,1,1,cap.,BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,False,cap.
264,Llama 3.3 70B · 12 000 TPM,de que,4,1,1,1,de que,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,4,Cambios — Sustitución,False,de que
265,Llama 3.3 70B · 12 000 TPM,despuã©s,4,1,1,1,despuÃ©s,BnF_266_05,bnf_266,Adriana,Cambios,Otros,4,Cambios — Otros | Cambios — Sustitución,False,despuã©s
266,GPT OSS 120B · 8 000 TPM,dro,4,1,1,1,dro,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,No sub-rule assigned,4,Abreviaturas — No sub-rule assigned,False,dro
267,Llama 3.3 70B · 12 000 TPM,dã­a,4,1,1,1,dÃ­a,BnF_266_05,bnf_266,Adriana,Cambios,Otros,4,Cambios — Otros | Cambios — Sustitución,False,dã­a
268,GPT OSS 120B · 8 000 TPM,e,4,1,1,1,E,BnF_112_23,bnf_112,Edna,Filológicas - instrucciones,Regularización de H etimológica,4,Filológicas - instrucciones — Regularización de H etimológica,False,e
269,GPT OSS 120B · 8 000 TPM,en lla,4,1,1,1,en lla,BnF_032_36,bnf_032,Paco,Cambios,Inserción,4,Cambios — Inserción,False,en lla
270,Llama 3.3 70B · 12 000 TPM,herr.,4,1,1,1,Herr.,BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,False,herr.
271,GPT OSS 120B · 8 000 TPM,herrera escribano,4,1,1,1,Herrera escribano | herrera escribano,AGN_Tierras_v039-2_exp003_72,agn_tierras,Edna,Puntuación,"Coma (,)",4,"Puntuación — Coma (,)",False,herrera escribano
272,GPT OSS 120B · 8 000 TPM,mg,4,1,1,1,mg,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,False,mg
273,Llama 3.3 70B · 12 000 TPM,mrs,4,1,1,1,mrs,AGI_CONTRATACION_1089_N8_151,agi_contratacion,Paco,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,False,mrs
274,GPT OSS 120B · 8 000 TPM,novta,4,1,1,1,novta,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,False,novta
275,Llama 3.3 70B · 12 000 TPM,olbera,4,1,1,1,Olbera,BnF_394_10,bnf_394,Flor,Filológicas - instrucciones,Regularización de labiales (b/v),4,Filológicas - instrucciones — Regularización de labiales (b/v),False,olbera
276,GPT OSS 120B · 8 000 TPM,oxos,4,1,1,1,oxos,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Filológicas - instrucciones,x sibilante → j,4,Filológicas - instrucciones — x sibilante → j,False,oxos
277,Llama 3.3 70B · 12 000 TPM,pueblecito,4,1,1,1,pueblecito,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa | Cambios — Sustitución,False,pueblecito
278,Llama 3.3 70B · 12 000 TPM,riego,4,1,1,1,Riego,AGS_CE_RG_L379_04,ags_ce,Rodrigo,Cambios,Sustitución,4,Cambios — Sustitución,False,riego
279,Llama 3.3 70B · 12 000 TPM,suchimilco,4,1,1,1,Suchimilco,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Filológicas - instrucciones,No modificar otros idiomas,4,Filológicas - instrucciones — No modificar otros idiomas,False,suchimilco
280,GPT OSS 120B · 8 000 TPM,v mrd,4,1,1,1,V mrd,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,No sub-rule assigned,4,Abreviaturas — No sub-rule assigned,False,v mrd
281,GPT OSS 120B · 8 000 TPM,presento,3,3,3,1,presento,BnF_032_36 | BnF_112_25 | BnF_113_04,bnf_032 | bnf_112 | bnf_113,Paco,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned,False,presento
282,Llama 3.3 70B · 12 000 TPM,tpo,3,3,1,2,tpo,BnF_267_03 | BnF_267_23 | BnF_267_15,bnf_267,Paco | Adriana,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,tpo
283,GPT OSS 120B · 8 000 TPM,audia,3,2,2,1,audia,AGI_PATRONATO_182_R3_01 | AGN_Indios_v019_exp354_2,agi_patronato | agn_indios,Alba,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,audia
284,GPT OSS 120B · 8 000 TPM,caxa,3,2,1,2,caxa,AGN_AHHacienda_v1292_exp135 | AGN_AHHacienda_v268_exp046_01,agn_ahhacienda,Javier | Adriana,Filológicas - instrucciones,x sibilante → j,3,Filológicas - instrucciones — x sibilante → j,False,caxa
285,Llama 3.3 70B · 12 000 TPM,coyuacán,3,2,1,2,Coyuacán,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,agn_hospjesus,Paco | Arturo,Cambios,Sustitución,2,Cambios — Sustitución | Acentuación — No sub-rule assigned | Cambios — Inserción,False,coyuacán
286,Llama 3.3 70B · 12 000 TPM,de estas,3,2,2,1,de estas,AGI_INDIFERENTE_1529_N36_07 | AGN_GralParte_v006_exp617_02,agi_indiferente | agn_gralparte,Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",3,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",False,de estas
287,GPT OSS 120B · 8 000 TPM,eta,3,2,2,1,eta,AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874,agn_indios | agn_realesceddup,Alba,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,eta
288,GPT OSS 120B · 8 000 TPM,exmo,3,2,1,2,exmo,AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062,agn_realesceddup,Alba | Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,exmo
289,Llama 3.3 70B · 12 000 TPM,franca,3,2,1,2,Franca,BnF_243_18 | BnF_243_16,bnf_243,Adriana | Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,franca
290,GPT OSS 120B · 8 000 TPM,llamava,3,2,1,2,llamava,BnF_112_02 | BnF_112_23,bnf_112,Arturo | Edna,Filológicas - instrucciones,Regularización de labiales (b/v),3,Filológicas - instrucciones — Regularización de labiales (b/v),False,llamava
291,Llama 3.3 70B · 12 000 TPM,"pueblo,",3,2,1,1,"pueblo,",BnF_075_026 | BnF_075_035,bnf_075,Arturo,Puntuación,"Coma (,)",3,"Puntuación — Coma (,)",False,"pueblo,"
292,Llama 3.3 70B · 12 000 TPM,setecientos,3,2,2,1,setecientos,AGN_GralParte_v001_exp1020_02 | BnF_117_08,agn_gralparte | bnf_117,Edna,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned | Cambios — Sustitución,False,setecientos
293,Llama 3.3 70B · 12 000 TPM,tlaxcala,3,2,1,2,Tlaxcala,BnF_117_13 | BnF_117_03,bnf_117,Paco | Arturo,Cambios,Sustitución,2,Cambios — Sustitución | Filológicas - instrucciones — No modificar otros idiomas,False,tlaxcala
294,GPT OSS 120B · 8 000 TPM,vienes,3,2,2,1,vienes,AGN_IndiferenteVirreinal_caja4071_exp024_2 | AGN_RealesCedDup_v050_exp062,agn_indiferentevirreinal | agn_realesceddup,Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),3,Filológicas - instrucciones — Regularización de labiales (b/v),False,vienes
295,GPT OSS 120B · 8 000 TPM,/,3,1,1,1,/,BnF_111_20,bnf_111,Flor,Filológicas - instrucciones,Regularización de labiales (b/v),3,Filológicas - instrucciones — Regularización de labiales (b/v),False,/
296,GPT OSS 120B · 8 000 TPM,aca,3,1,1,1,aCa | aca,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,aca
297,Llama 3.3 70B · 12 000 TPM,albaneses,3,1,1,1,albaneses,BnF_030_22,bnf_030,Paco,Cambios,Sustitución,3,Cambios — Sustitución,False,albaneses
298,GPT OSS 120B · 8 000 TPM,alcozer,3,1,1,1,alcozer | Alcozer,AGN_Indios_v019_exp354_2,agn_indios,Alba,Filológicas - mecánicas,Regularización de sibilantes,3,Filológicas - mecánicas — Regularización de sibilantes,False,alcozer
299,GPT OSS 120B · 8 000 TPM,avia,3,1,1,1,avia,BnF_112_02,bnf_112,Arturo,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned | Filológicas - instrucciones — Regularización de H etimológica | Filológicas - instrucciones — Regularización de labiales (b/v),False,avia
300,Llama 3.3 70B · 12 000 TPM,ay,3,1,1,1,Ay,AGI_PATRONATO_181_R13_2,agi_patronato,Paloma,Filológicas - instrucciones,Regularización de H etimológica,3,Filológicas - instrucciones — Regularización de H etimológica,False,ay
301,GPT OSS 120B · 8 000 TPM,bara,3,1,1,1,bara,BnF_111_20,bnf_111,Flor,Filológicas - mecánicas,Regularización de sibilantes,2,Filológicas - mecánicas — Regularización de sibilantes | Filológicas - instrucciones — Regularización de labiales (b/v),False,bara
302,Llama 3.3 70B · 12 000 TPM,bautizar,3,1,1,1,bautizar,BnF_174_05,bnf_174,Adriana,Cambios,Sustitución,3,Cambios — Sustitución,False,bautizar
303,GPT OSS 120B · 8 000 TPM,caballerã­a,3,1,1,1,caballerÃ­a,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned,False,caballerã­a
304,Llama 3.3 70B · 12 000 TPM,cap,3,1,1,1,cap,BnF_264_02,bnf_264,Paloma,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,cap
305,Llama 3.3 70B · 12 000 TPM,coatepec,3,1,1,1,Coatepec,BnF_030_22,bnf_030,Paco,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,coatepec
306,Llama 3.3 70B · 12 000 TPM,culhuacán,3,1,1,1,Culhuacán,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Filológicas - instrucciones,No modificar otros idiomas,3,Filológicas - instrucciones — No modificar otros idiomas,False,culhuacán
307,Llama 3.3 70B · 12 000 TPM,dec,3,1,1,1,Dec,BnF_264_02,bnf_264,Paloma,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,dec
308,Llama 3.3 70B · 12 000 TPM,dec.,3,1,1,1,Dec.,BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,dec.
309,GPT OSS 120B · 8 000 TPM,dixeran,3,1,1,1,dixeran,BnF_113_22,bnf_113,Paloma,Filológicas - instrucciones,x sibilante → j,3,Filológicas - instrucciones — x sibilante → j,False,dixeran
310,GPT OSS 120B · 8 000 TPM,el corregidor,3,1,1,1,el corregidor,AGN_Indios_v002_exp835,agn_indios,Paloma,Cambios,Deleción,3,Cambios — Deleción | Abreviaturas — Expansión completa,False,el corregidor
311,GPT OSS 120B · 8 000 TPM,el mandamiento,3,1,1,1,el mandamiento,AGN_Indios_v002_exp835,agn_indios,Paloma,Cambios,Deleción,3,Cambios — Deleción,False,el mandamiento
312,Llama 3.3 70B · 12 000 TPM,en el,3,1,1,1,en el,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Cambios,Sustitución,3,Cambios — Sustitución,False,en el
313,GPT OSS 120B · 8 000 TPM,estansia,3,1,1,1,Estansia | estansia,BnF_113_22,bnf_113,Paloma,Filológicas - mecánicas,Regularización de sibilantes,3,Filológicas - mecánicas — Regularización de sibilantes,False,estansia
314,Llama 3.3 70B · 12 000 TPM,f.,3,1,1,1,f.,BnF_264_02,bnf_264,Paloma,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,f.
315,Llama 3.3 70B · 12 000 TPM,guipil,3,1,1,1,guipil,BnF_111_22,bnf_111,Paloma,Filológicas - mecánicas,Regularización de la diéresis,3,Filológicas - mecánicas — Regularización de la diéresis,False,guipil
316,Llama 3.3 70B · 12 000 TPM,habría,3,1,1,1,habría,BnF_032_33,bnf_032,Adriana,Cambios,No sub-rule assigned,3,Cambios — No sub-rule assigned,False,habría
317,Llama 3.3 70B · 12 000 TPM,iiii,3,1,1,1,iiii,AGN_HospJesus_c205_exp041_04,agn_hospjesus,Flor,Cambios,Otros,3,Cambios — Otros,False,iiii
318,Llama 3.3 70B · 12 000 TPM,jph,3,1,1,1,Jph,AGS_CE_RG_L379_02,ags_ce,Arturo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,jph
319,Llama 3.3 70B · 12 000 TPM,la flota,3,1,1,1,la flota | La flota,BnF_266_10,bnf_266,Flor,Puntuación,Punto (.),2,Puntuación — Punto (.) | Cambios — Sustitución,False,la flota
320,GPT OSS 120B · 8 000 TPM,limytes,3,1,1,1,limytes,AGI_PATRONATO_182_R3_01,agi_patronato,Alba,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned | Filológicas - instrucciones — Regularización de i/y vocálicas,False,limytes
321,GPT OSS 120B · 8 000 TPM,masa,3,1,1,1,masa,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,masa
322,GPT OSS 120B · 8 000 TPM,md,3,1,1,1,md,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,md
323,GPT OSS 120B · 8 000 TPM,mechoacán,3,1,1,1,Mechoacán,BNE_ms3047_4,bne_ms3047,Javier,Filológicas - mecánicas,No sub-rule assigned,3,Filológicas - mecánicas — No sub-rule assigned,False,mechoacán
324,GPT OSS 120B · 8 000 TPM,mesa,3,1,1,1,meSa,BNE_ms3047_1,bne_ms3047,Rodrigo,Cambios,Otros,3,Cambios — Otros,False,mesa
325,Llama 3.3 70B · 12 000 TPM,mixteca,3,1,1,1,Mixteca,BnF_264_03,bnf_264,Adriana,Cambios,No sub-rule assigned,3,Cambios — No sub-rule assigned | Filológicas - instrucciones — No modificar otros idiomas,False,mixteca
326,Llama 3.3 70B · 12 000 TPM,monte,3,1,1,1,monte,BnF_030_22,bnf_030,Paco,Cambios,Inserción,3,Cambios — Inserción,False,monte
327,Llama 3.3 70B · 12 000 TPM,mã¡s,3,1,1,1,mÃ¡s,BnF_266_05,bnf_266,Adriana,Cambios,Otros,3,Cambios — Otros | Cambios — Sustitución,False,mã¡s
328,GPT OSS 120B · 8 000 TPM,ocelutle,3,1,1,1,ocelutle,BnF_032_36,bnf_032,Paco,Cambios,Sustitución,3,Cambios — Sustitución,False,ocelutle
329,GPT OSS 120B · 8 000 TPM,p,3,1,1,1,p,AGN_AHHacienda_v268_exp046_01,agn_ahhacienda,Adriana,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,p
330,GPT OSS 120B · 8 000 TPM,paxe,3,1,1,1,paxe,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Filológicas - instrucciones,x sibilante → j,3,Filológicas - instrucciones — x sibilante → j,False,paxe
331,Llama 3.3 70B · 12 000 TPM,pe.,3,1,1,1,Pe.,BnF_167_29,bnf_167,Adriana,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,pe.
332,Llama 3.3 70B · 12 000 TPM,poder,3,1,1,1,poder,BnF_118_05,bnf_118,Alba,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,poder
333,Llama 3.3 70B · 12 000 TPM,pregono,3,1,1,1,pregono,BnF_075_035,bnf_075,Arturo,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned | Cambios — Deleción,False,pregono
334,GPT OSS 120B · 8 000 TPM,primo,3,1,1,1,Primo | primo,AGN_AHHacienda_v268_exp046_01,agn_ahhacienda,Adriana,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,primo
335,Llama 3.3 70B · 12 000 TPM,péz,3,1,1,1,Péz,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,péz
336,GPT OSS 120B · 8 000 TPM,q sumado,3,1,1,1,q Sumado,BnF_113_22,bnf_113,Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,q sumado
337,Llama 3.3 70B · 12 000 TPM,ruy,3,1,1,1,Ruy,BnF_119-148_24,bnf_119-148,Adriana,Cambios,Sustitución,3,Cambios — Sustitución,False,ruy
338,Llama 3.3 70B · 12 000 TPM,santo,3,1,1,1,Santo,BnF_174_04,bnf_174,Paloma,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,santo
339,GPT OSS 120B · 8 000 TPM,se ha servido,3,1,1,1,se ha servido | Se ha servido,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Cambios,Inserción,2,Cambios — Inserción | Filológicas - instrucciones — Regularización de H etimológica,False,se ha servido
340,Llama 3.3 70B · 12 000 TPM,sean,3,1,1,1,sean,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Inserción,3,Cambios — Inserción,False,sean
341,Llama 3.3 70B · 12 000 TPM,sr,3,1,1,1,Sr,BnF_243_17,bnf_243,Edna,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,sr
342,GPT OSS 120B · 8 000 TPM,sujetos,3,1,1,1,sujetos,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Cambios,Deleción,3,Cambios — Deleción,False,sujetos
343,GPT OSS 120B · 8 000 TPM,suyo del,3,1,1,1,suyo del,BnF_030_27,bnf_030,Rodrigo,Cambios,Inserción,3,Cambios — Inserción | Cambios — Sustitución,False,suyo del
344,GPT OSS 120B · 8 000 TPM,tellez,3,1,1,1,tellez,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned,False,tellez
345,Llama 3.3 70B · 12 000 TPM,tenã­a,3,1,1,1,tenÃ­a,BnF_266_05,bnf_266,Adriana,Cambios,Otros,3,Cambios — Otros | Cambios — Sustitución,False,tenã­a
346,Llama 3.3 70B · 12 000 TPM,tenã­an,3,1,1,1,tenÃ­an,BnF_266_05,bnf_266,Adriana,Cambios,Otros,3,Cambios — Otros | Cambios — Sustitución,False,tenã­an
347,GPT OSS 120B · 8 000 TPM,todos,3,1,1,1,todos,BnF_113_04,bnf_113,Paco,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Cambios — Inserción,False,todos
348,Llama 3.3 70B · 12 000 TPM,tras,3,1,1,1,Tras,AGS_CE_RG_L379_04,ags_ce,Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,tras
349,GPT OSS 120B · 8 000 TPM,uno,3,1,1,1,Uno | uno,BNE_ms3047_1,bne_ms3047,Rodrigo,Puntuación,Punto (.),3,Puntuación — Punto (.),False,uno
350,Llama 3.3 70B · 12 000 TPM,va.,3,1,1,1,Va. | va.,BNE_ms3047_3,bne_ms3047,Javier,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,False,va.
351,Llama 3.3 70B · 12 000 TPM,viniere,3,1,1,1,viniere,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Cambios,Sustitución,3,Cambios — Sustitución,False,viniere
352,GPT OSS 120B · 8 000 TPM,vra,3,1,1,1,vra,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned,False,vra
353,Llama 3.3 70B · 12 000 TPM,xerez,3,1,1,1,Xerez,BnF_118_05,bnf_118,Alba,Filológicas - instrucciones,x sibilante → j,3,Filológicas - instrucciones — x sibilante → j,False,xerez
354,Llama 3.3 70B · 12 000 TPM,y cinco,3,1,1,1,y cinco,BnF_032_23,bnf_032,Arturo,Cambios,No sub-rule assigned,2,Cambios — No sub-rule assigned | Cambios — Sustitución,False,y cinco
355,Llama 3.3 70B · 12 000 TPM,ynston,3,1,1,1,ynston,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Cambios — Deleción,False,ynston
356,GPT OSS 120B · 8 000 TPM,zibdad,3,1,1,1,zibdad,AGI_PATRONATO_182_R3_04,agi_patronato,Paco,Filológicas - mecánicas,Regularización de sibilantes,3,Filológicas - mecánicas — Regularización de sibilantes,False,zibdad
357,Llama 3.3 70B · 12 000 TPM,zultepec,3,1,1,1,zultepec,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Otros,3,Cambios — Otros,False,zultepec
358,Llama 3.3 70B · 12 000 TPM,ã©l,3,1,1,1,Ã©l,BnF_266_05,bnf_266,Adriana,Cambios,Otros,3,Cambios — Otros | Cambios — Sustitución,False,ã©l
359,GPT OSS 120B · 8 000 TPM,aber,2,2,1,2,aber,BnF_113_04 | BnF_113_22,bnf_113,Paco | Paloma,Filológicas - instrucciones,No sub-rule assigned,1,Filológicas - instrucciones — No sub-rule assigned | Filológicas - instrucciones — Regularización de H etimológica,False,aber
360,Llama 3.3 70B · 12 000 TPM,ante el,2,2,2,1,ante el,BnF_075_035 | BnF_118_08,bnf_075 | bnf_118,Arturo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",1,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción | Cambios — Inserción",False,ante el
361,Llama 3.3 70B · 12 000 TPM,aun,2,2,2,1,aun,AGI_INDIFERENTE_1529_N8_06 | BnF_266_03,agi_indiferente | bnf_266,Rodrigo,Acentuación,No sub-rule assigned,2,Acentuación — No sub-rule assigned,False,aun
362,GPT OSS 120B · 8 000 TPM,capan,2,2,2,1,Capan | capan,AGN_GralParte_v006_exp617_01 | BNE_ms3047_1,agn_gralparte | bne_ms3047,Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa,False,capan
363,GPT OSS 120B · 8 000 TPM,carvajal,2,2,1,2,carvajal | Carvajal,BnF_112_25 | BnF_112_02,bnf_112,Paco | Arturo,Cambios,Deleción,2,Cambios — Deleción,False,carvajal
364,Llama 3.3 70B · 12 000 TPM,"corregidor,",2,2,1,1,"corregidor,",BnF_075_026 | BnF_075_035,bnf_075,Arturo,Puntuación,"Coma (,)",2,"Puntuación — Coma (,)",False,"corregidor,"
365,Llama 3.3 70B · 12 000 TPM,"costas, y",2,2,2,1,"costas, y",AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_117_03,agn_hospjesus | bnf_117,Arturo,Puntuación,"Coma (,)",2,"Puntuación — Coma (,)",False,"costas, y"
366,GPT OSS 120B · 8 000 TPM,dava,2,2,1,2,dava,BnF_112_23 | BnF_112_04,bnf_112,Edna | Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),2,Filológicas - instrucciones — Regularización de labiales (b/v),False,dava
367,GPT OSS 120B · 8 000 TPM,debaxo,2,2,1,2,debaxo,BnF_112_02 | BnF_112_04,bnf_112,Arturo | Paloma,Filológicas - instrucciones,x sibilante → j,2,Filológicas - instrucciones — x sibilante → j,False,debaxo
