annotation_rate_rank,filename_stem,model,archive,reviewer_packet,reviewer_name,n_modernised_tokens,n_included_annotations,n_included_assignments,included_annotations_per_1000_tokens,dominant_error_category,dominant_subrule,document_family,reviewed_documents_in_family,repeated_document_family,high_annotation_count,high_annotation_rate,selected_for_review,selection_reason
119,AGI_PATRONATO_181_R13_1,GPT OSS 120B · 8 000 TPM,agi_patronato,7,Paloma,329,16,20,48.632218844984806,Cambios,Cambios — Deleción,AGI_PATRONATO_181_R13_1,1,False,False,False,False,not selected
120,BnF_110_09,Llama 3.3 70B · 12 000 TPM,bnf_110,6,Alba,369,17,18,46.07046070460704,Cambios,Cambios — Sustitución,BnF_110_09,1,False,False,False,False,not selected
121,AGI_CONTRATACION_1091_N3_098,GPT OSS 120B · 8 000 TPM,agi_contratacion,1,Javier,180,8,8,44.44444444444444,Abreviaturas,Abreviaturas — Expansión completa,AGI_CONTRATACION_1091_N3_098,1,False,False,False,False,not selected
122,BnF_266_03,Llama 3.3 70B · 12 000 TPM,bnf_266,9,Rodrigo,766,34,40,44.38642297650131,Cambios,Acentuación — No sub-rule assigned | Cambios — Sustitución,BnF_266_03,1,False,False,False,False,not selected
123,BnF_244_05,Llama 3.3 70B · 12 000 TPM,bnf_244,5,Edna,280,12,12,42.85714285714285,Filológicas - instrucciones,Filológicas - instrucciones — Regularización de i/y vocálicas,BnF_244_05,1,False,False,False,False,not selected
124,BnF_119-148_24,Llama 3.3 70B · 12 000 TPM,bnf_119-148,3,Adriana,284,12,12,42.25352112676056,Cambios,Cambios — Sustitución,BnF_119-148_24,1,False,False,False,False,not selected
125,BnF_394_07,Llama 3.3 70B · 12 000 TPM,bnf_394,9,Rodrigo,413,17,21,41.16222760290557,Cambios,Cambios — Sustitución,BnF_394_07,1,False,False,False,False,not selected
126,BP_CM_R494_156_2,Llama 3.3 70B · 12 000 TPM,bp_cm,1,Javier,366,15,15,40.98360655737704,Cambios,Abreviaturas — Expansión completa | Cambios — Deleción,BP_CM_R494_156_2,1,False,False,False,False,not selected
127,BnF_266_07,Llama 3.3 70B · 12 000 TPM,bnf_266,2,Paco,923,35,38,37.91982665222102,Cambios,Cambios — Deleción,BnF_266_07,1,False,False,False,False,not selected
128,BnF_243_17,Llama 3.3 70B · 12 000 TPM,bnf_243,5,Edna,400,15,15,37.5,Abreviaturas,Abreviaturas — No sub-rule assigned,BnF_243_17,1,False,False,False,False,not selected
129,BP_CM_32386_007_2,Llama 3.3 70B · 12 000 TPM,bp_cm,9,Rodrigo,358,13,13,36.312849162011176,Cambios,Cambios — Sustitución,BP_CM_32386_007_2,1,False,False,False,False,not selected
130,utblac_eog_v_41_orig_03,Llama 3.3 70B · 12 000 TPM,utblac_eog,8,Flor,166,6,6,36.14457831325301,Abreviaturas | Filológicas - instrucciones,Abreviaturas — Expansión completa,utblac_eog_v_41_orig_03,1,False,False,False,False,not selected
131,UIA_Ms149_Exp3_04,Llama 3.3 70B · 12 000 TPM,uia_ms149,6,Alba,285,10,11,35.08771929824561,Abreviaturas,Abreviaturas — Expansión completa,UIA_Ms149_Exp3_04,1,False,False,False,False,not selected
132,utblac_wbs_1433_duplicated_1,Llama 3.3 70B · 12 000 TPM,utblac_wbs,9,Rodrigo,544,19,22,34.9264705882353,Cambios,Cambios — Sustitución,utblac_wbs_1433,1,False,False,False,False,not selected
133,AGN_Marina_v004_exp006_005,GPT OSS 120B · 8 000 TPM,agn_marina,5,Edna,87,3,3,34.48275862068965,Puntuación,"Puntuación — Coma (,)",AGN_Marina_v004_exp006_005,1,False,False,False,False,not selected
134,utblac_gg_mss_g62_duplicated_11,Llama 3.3 70B · 12 000 TPM,utblac_gg,6,Alba,175,6,6,34.285714285714285,Abreviaturas,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de labiales (b/v),utblac_gg_mss_g62,4,True,False,False,False,not selected
135,utblac_JGI_XXIII-09_Amula_25,Llama 3.3 70B · 12 000 TPM,utblac_jgi,9,Rodrigo,146,5,8,34.24657534246575,Cambios,Cambios — Sustitución,utblac_JGI_XXIII-09_Amula_25,1,False,False,False,False,not selected
136,BnF_264_12,Llama 3.3 70B · 12 000 TPM,bnf_264,5,Edna,819,28,32,34.188034188034194,Cambios,Cambios — Deleción,BnF_264_12,1,False,False,False,False,not selected
137,BnF_117_08,Llama 3.3 70B · 12 000 TPM,bnf_117,5,Edna,273,9,12,32.96703296703297,Abreviaturas,Abreviaturas — No sub-rule assigned,BnF_117_08,1,False,False,False,False,not selected
138,BnF_243_18,Llama 3.3 70B · 12 000 TPM,bnf_243,3,Adriana,456,15,17,32.89473684210526,Cambios,Cambios — Sustitución,BnF_243_18,1,False,False,False,False,not selected
139,AGN_Tierras_v2963_exp059_24,Llama 3.3 70B · 12 000 TPM,agn_tierras,2,Paco,122,4,5,32.786885245901644,Cambios,Cambios — Inserción | Cambios — Sustitución,AGN_Tierras_v2963_exp059_24,1,False,False,False,False,not selected
140,BnF_394_10,Llama 3.3 70B · 12 000 TPM,bnf_394,8,Flor,502,16,16,31.872509960159363,Cambios,Cambios — Sustitución,BnF_394_10,1,False,False,False,False,not selected
141,BnF_167_29,Llama 3.3 70B · 12 000 TPM,bnf_167,3,Adriana,285,9,9,31.57894736842105,Abreviaturas,Abreviaturas — Expansión completa,BnF_167_29,1,False,False,False,False,not selected
142,BnF_119-148_16,Llama 3.3 70B · 12 000 TPM,bnf_119-148,8,Flor,223,7,9,31.390134529147986,Cambios,Cambios — Sustitución,BnF_119-148_16,1,False,False,False,False,not selected
143,AGN_IndiferenteVirreinal_caja4156_exp025,Llama 3.3 70B · 12 000 TPM,agn_indiferentevirreinal,1,Javier,128,4,4,31.25,Puntuación,"Puntuación — Coma (,)",AGN_IndiferenteVirreinal_caja4156_exp025,1,False,False,False,False,not selected
144,AGN_Inquisicion_v1568A_exp152_fs115-116v_01,Llama 3.3 70B · 12 000 TPM,agn_inquisicion,9,Rodrigo,258,8,9,31.00775193798449,Cambios,Cambios — Deleción,AGN_Inquisicion_v1568A_exp152_fs115-116v_01,1,False,False,False,False,not selected
145,BnF_118_06,Llama 3.3 70B · 12 000 TPM,bnf_118,5,Edna,279,8,10,28.67383512544803,Cambios,Abreviaturas — No sub-rule assigned | Cambios — Deleción | Cambios — Sustitución,BnF_118_06,1,False,False,False,False,not selected
146,BnF_167_25,Llama 3.3 70B · 12 000 TPM,bnf_167,2,Paco,389,11,11,28.27763496143959,Cambios,Cambios — Sustitución,BnF_167_25,1,False,False,False,False,not selected
147,AGN_Inquisicion_v1568A_exp152_fs115-116v_04,Llama 3.3 70B · 12 000 TPM,agn_inquisicion,7,Paloma,40,1,1,25.0,Abreviaturas,Abreviaturas — Expansión completa,AGN_Inquisicion_v1568A_exp152_fs115-116v_04,1,False,False,False,False,not selected
148,AGN_GralParte_v001_exp1020_01,Llama 3.3 70B · 12 000 TPM,agn_gralparte,7,Paloma,338,8,8,23.66863905325444,Cambios,Cambios — Deleción | Cambios — Inserción | Cambios — Sustitución,AGN_GralParte_v001_exp1020_01,1,False,False,False,False,not selected
149,BnF_117_14,Llama 3.3 70B · 12 000 TPM,bnf_117,6,Alba,334,7,7,20.958083832335326,Cambios,Cambios — Inserción | Cambios — Sustitución,BnF_117_14,1,False,False,False,False,not selected
150,AGN_RealesCedDup_v003_exp334,Llama 3.3 70B · 12 000 TPM,agn_realesceddup,6,Alba,338,7,7,20.710059171597635,Cambios,Cambios — Deleción,AGN_RealesCedDup_v003_exp334,1,False,False,False,False,not selected
151,BnF_266_06,Llama 3.3 70B · 12 000 TPM,bnf_266,3,Adriana,822,17,18,20.68126520681265,Cambios,Cambios — Sustitución,BnF_266_06,1,False,False,False,False,not selected
152,BnF_244_02,Llama 3.3 70B · 12 000 TPM,bnf_244,6,Alba,146,3,3,20.54794520547945,Abreviaturas,Abreviaturas — No sub-rule assigned,BnF_244_02,1,False,False,False,False,not selected
153,LoC_HPKraus_138_new_07,Llama 3.3 70B · 12 000 TPM,loc_hpkraus,5,Edna,295,6,6,20.338983050847457,Abreviaturas | Puntuación,"Abreviaturas — No sub-rule assigned | Puntuación — Coma (,)",LoC_HPKraus_138_new_07,1,False,False,False,False,not selected
154,utblac_JGI_XXV-05_Tequixquiac_25,Llama 3.3 70B · 12 000 TPM,utblac_jgi,5,Edna,298,5,5,16.778523489932887,Filológicas - instrucciones,Filológicas - instrucciones — Regularización de H etimológica,utblac_JGI_XXV-05_Tequixquiac_25,1,False,False,False,False,not selected
155,AGI_PATRONATO_181_R13_2,Llama 3.3 70B · 12 000 TPM,agi_patronato,7,Paloma,312,5,5,16.025641025641026,Filológicas - instrucciones,Filológicas - instrucciones — Regularización de H etimológica,AGI_PATRONATO_181_R13_2,1,False,False,False,False,not selected
156,AGS_CE_RG_L379_05,Llama 3.3 70B · 12 000 TPM,ags_ce,8,Flor,189,3,3,15.873015873015872,Filológicas - instrucciones,Filológicas - instrucciones — Regularización de labiales (b/v),AGS_CE_RG_L379_05,1,False,False,False,False,not selected
157,BnF_174_06,Llama 3.3 70B · 12 000 TPM,bnf_174,1,Javier,641,10,11,15.600624024960998,Puntuación,"Puntuación — Coma (,)",BnF_174_06,1,False,False,False,False,not selected
158,BnF_174_05,Llama 3.3 70B · 12 000 TPM,bnf_174,3,Adriana,663,10,11,15.082956259426847,Cambios,Cambios — Sustitución,BnF_174_05,1,False,False,False,False,not selected
159,BnF_113_25,Llama 3.3 70B · 12 000 TPM,bnf_113,8,Flor,598,9,9,15.050167224080267,Cambios,Cambios — Sustitución,BnF_113_25,1,False,False,False,False,not selected
160,BnF_116_06,Llama 3.3 70B · 12 000 TPM,bnf_116,5,Edna,133,2,2,15.037593984962406,Puntuación,"Puntuación — Coma (,)",BnF_116_06,1,False,False,False,False,not selected
161,BnF_117_15,Llama 3.3 70B · 12 000 TPM,bnf_117,8,Flor,136,2,2,14.705882352941176,Cambios,Cambios — Inserción | Cambios — Sustitución,BnF_117_15,1,False,False,False,False,not selected
162,BnF_283_12,Llama 3.3 70B · 12 000 TPM,bnf_283,1,Javier,553,8,8,14.466546112115733,Puntuación,"Puntuación — Coma (,) | Puntuación — Punto (.)",BnF_283_12,1,False,False,False,False,not selected
163,BnF_119-148_13,Llama 3.3 70B · 12 000 TPM,bnf_119-148,5,Edna,279,4,5,14.336917562724016,Cambios,Cambios — Inserción,BnF_119-148_13,1,False,False,False,False,not selected
164,BNE_ms3047_3,Llama 3.3 70B · 12 000 TPM,bne_ms3047,1,Javier,462,5,5,10.822510822510822,Abreviaturas,Abreviaturas — Expansión completa,BNE_ms3047_3,1,False,False,False,False,not selected
165,AGN_RealesCedDup_v016_exp515,Llama 3.3 70B · 12 000 TPM,agn_realesceddup,6,Alba,316,3,3,9.49367088607595,Cambios,Cambios — Inserción,AGN_RealesCedDup_v016_exp515,1,False,False,False,False,not selected
166,BnF_167_03,Llama 3.3 70B · 12 000 TPM,bnf_167,1,Javier,440,4,4,9.09090909090909,Cambios | Puntuación,"Puntuación — Coma (,)",BnF_167_03,1,False,False,False,False,not selected
167,BnF_283_05,Llama 3.3 70B · 12 000 TPM,bnf_283,6,Alba,564,5,8,8.865248226950355,Cambios,Cambios — Inserción,BnF_283_05,1,False,False,False,False,not selected
168,LoC_HPKraus_138_new_14,Llama 3.3 70B · 12 000 TPM,loc_hpkraus,9,Rodrigo,232,2,2,8.620689655172413,Cambios,Cambios — Sustitución,LoC_HPKraus_138_new_14,1,False,False,False,False,not selected
169,AGI_PATRONATO_182_R3_03,Llama 3.3 70B · 12 000 TPM,agi_patronato,1,Javier,248,2,2,8.064516129032258,Cambios,Cambios — Sustitución,AGI_PATRONATO_182_R3_03,1,False,False,False,False,not selected
170,AGN_Congregaciones_v001_exp076,Llama 3.3 70B · 12 000 TPM,agn_congregaciones,1,Javier,374,3,3,8.02139037433155,Cambios,Cambios — Sustitución,AGN_Congregaciones_v001_exp076,1,False,False,False,False,not selected
171,utblac_wbs_888_duplicated_1,Llama 3.3 70B · 12 000 TPM,utblac_wbs,5,Edna,288,2,2,6.944444444444444,Cambios | Puntuación,"Cambios — Sustitución | Puntuación — Coma (,)",utblac_wbs_888,2,True,False,False,False,not selected
172,BnF_167_04,Llama 3.3 70B · 12 000 TPM,bnf_167,1,Javier,458,3,3,6.550218340611353,Puntuación,"Puntuación — Coma (,)",BnF_167_04,1,False,False,False,False,not selected
173,BnF_283_03,Llama 3.3 70B · 12 000 TPM,bnf_283,5,Edna,460,3,3,6.521739130434782,Cambios,Cambios — Inserción,BnF_283_03,1,False,False,False,False,not selected
174,utblac_JGI_XXIV-11_Justlahuaca_57,Llama 3.3 70B · 12 000 TPM,utblac_jgi,8,Flor,307,2,2,6.514657980456026,Cambios | Filológicas - instrucciones,Cambios — Inserción | Filológicas - instrucciones — Regularización de labiales (b/v),utblac_JGI_XXIV-11_Justlahuaca_57,1,False,False,False,False,not selected
175,utblac_eog_wbs_procesal_sample_01_10,Llama 3.3 70B · 12 000 TPM,utblac_eog,1,Javier,191,1,1,5.235602094240838,Cambios,Cambios — Deleción,utblac_eog_wbs_procesal_sample_01_10,1,False,False,False,False,not selected
176,BnF_167_10,Llama 3.3 70B · 12 000 TPM,bnf_167,5,Edna,437,2,2,4.576659038901602,Cambios,Cambios — Inserción,BnF_167_10,1,False,False,False,False,not selected
177,UIA_Ms149_Exp3_08,Llama 3.3 70B · 12 000 TPM,uia_ms149,1,Javier,296,1,1,3.3783783783783785,Puntuación,"Puntuación — Coma (,)",UIA_Ms149_Exp3_08,1,False,False,False,False,not selected
178,utblac_eog_v_41_orig_10,Llama 3.3 70B · 12 000 TPM,utblac_eog,1,Javier,15,0,0,0.0,No included annotations,No included annotations,utblac_eog_v_41_orig_10,1,False,False,False,False,not selected
179,utblac_wbs_0886_duplicated_2,Llama 3.3 70B · 12 000 TPM,utblac_wbs,2,Paco,30,0,0,0.0,No included annotations,No included annotations,utblac_wbs_0886,1,False,False,False,False,not selected
180,utblac_wbs_888_duplicated_2,Llama 3.3 70B · 12 000 TPM,utblac_wbs,5,Edna,17,0,0,0.0,No included annotations,No included annotations,utblac_wbs_888,2,True,False,False,False,not selected
